ID,depth,age,Abiskomyia,Ablabesmyia,Acamptocladius,Apedilum spp.,Brillia,Cardiocladius spp.,Chaetocladius spp.,Chironomus spp.,Cladopelma spp.,Cladotanytarsus spp.,Constempellina,Corynocera ambigua-type,Corynocera oliveri-type,Corynoneura Thienemanniella spp.,Cricotopus Orthocladius spp.,Cryptochironomus,Cryptotendipes,Cyphomella Harnischia Paracladopelma spp.,Derotanypus,Diamesa spp.,Dicrotendipes spp.,Doithrix Pseudorthocladius spp.,Einfeldia spp.,Endochironomus spp.,Eukieffferiella Tvetenia spp.,Georthocladius spp,Glyptotendipes spp.,Heterotanytarsus,Heterotrissocladius spp,Hydrobaenus Oliveridia spp.,Labrundinia,Lasiodiamesa,Lauterborniella Zavreliella spp.,Limnophyes Paralimnophyes,Mesocricotopus,Metriocnemus spp.,Micropsectra spp.,Microtendipes spp.,Monodiamesa,Nanocladius spp.,Nilothauma,Omisus,Pagastiella,Parachironomus spp.,Paracladius,Paracricotopus,Parakiefferiella spp.,Paralauterborniella spp.,Parametriocnemus,Parasmittia,Paratendipes spp.,Pentaneurini other,Phaenopsectra spp.,Polypedilum spp.,Potthastia spp.,Procladius,Protanytpus ,Psectrocladius Allopsectrocladius Mesopsectrocladius spp.,Psectrocladius Monopsectrocladius,Psectrocladius Psectrocladius spp.,Pseudochironomus,Pseudosmittia Smittia spp.,Pseudodiamesa,Rheocricotopus spp.,Sergentia spp.,Stempellina,Stempellinella Zavrelia spp,Stictochironomus spp.,Symposiocladius lignicola,Synorthocladius,Tanypus,Tanytarsina other,Thienemannimyia type,Tribelos,Xenochironomus,Zalutschia spp.,Zalutschia zalutschicola,Zavrelimyia type
33,115,2.34243,1.07527,0,0,0,0,0,0,16.129,0,0,0,0,2.15054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15054,0,0,0,0,0,0,0,48.3871,0,0,0,0,0,0,0,0,0,0,4.30108,0,0,0,0,0,0,0,0,9.67742,0,0,6.45161,0,0,0,3.22581,0,0,0,6.45161,0,0
34,120,2.42144,3.18182,0,0,0,0,0,0,11.3636,0,0,0,0,0,0,0.909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72727,0,0,0,0,0,0,0,37.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36364,0,0,26.8182,0,0,3.18182,0,0,0,4.54545,0,0,0,8.63636,0,0
35,130,2.57947,7.08661,0,0,0,0,0,0,7.87402,0,0,0,0,0,0,1.5748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14961,0,0,0,0,0,0,0,42.5197,0,0,0,0,0,0,0,0,0,0,0,0.787402,0,0,0,0,3.14961,0,0,14.9606,0,0,3.14961,0,0,0,6.29921,0,0,0,9.44882,0,0
36,135,2.65849,5.84795,0,0,0,0,0,0,10.5263,0,0,0,0,2.33918,0,4.09357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16959,4.67836,0,0,0,0,0,0,0,32.7485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584795,0,0.584795,0,0,18.1287,0,0,1.75439,0,0,0,6.43275,0,0,0,9.35673,0,0
37,145,2.81651,3.87597,0,0,0,0,0,0,6.20155,0,0,0,0,1.55039,0,0.775194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9612,0,0,0,0,0,0,0,0,0,0,0,0.775194,0,0,0.775194,0,1.55039,0,0,16.2791,0,0,3.10078,0,0,0,6.97674,0,0,0,12.4031,0,0
38,150,2.89553,4.33071,0,0,0,0,0,0,14.1732,0,0,0,0,4.72441,0,0.393701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787402,0,0,0,0,0,0,0,46.4567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1811,0,1.9685,0,0,4.72441,0,0,0,0,0,0,11.811,0,0,0,9.44882,0,0
39,155,2.97454,6.89655,0,0,0,0,0,0,6.89655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89655,0,0,0,0,0,0,0,40.2299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7931,0,0,2.29885,0,0,0,11.4943,0,0,0,11.4943,0,0
40,160,3.05356,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.375,0,0,0,0,0,0,0,0,0,0,0,3.125,0,0,0,0,15.625,0,0,26.5625,0,0,0,0,0,0,10.9375,0,0,0,0,0,0
41,165,3.13257,0,0,0,0,0,0,0,6.34921,0,0,0,0,3.1746,0,6.34921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5556,0,0,0,0,0,0,0,0,0,0,1.5873,0,0,0,0,0,0,0,0,9.52381,0,0,3.1746,0,0,0,6.34921,0,0,0,7.93651,0,0
42,175,3.2906,1.15607,0,0,0,0,0,0,4.04624,0,0,0,0,0,2.31214,8.09249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15607,0,1.15607,1.15607,0,0,0,0,0,0,0,49.1329,0,0,0,0,0,0,0,0,0,0,3.46821,0,0,0,0,0,1.15607,0,0,2.31214,0,0,1.15607,0,0,0,10.9827,0,0,0,11.5607,0,0
